id,img_path,matched_ds_index,hash_distance,caption,sentiment_num,sentiment_degree_num,intention_num,offensiveness_detection_num,metaphor_occurrence,caption_audio,script_audio,sentiment,sentiment_degree,intention,offensiveness,metaphor,script
0,/content/drive/MyDrive/met_meme_audio_project/images/000.png,2619,0,"""GOT NAME?""",1,1,3,0,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/000_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/000_script.mp3,happiness,slightly,entertaining,non_offensive,no_metaphor,那我再說一句Hey there!Got a meme to shareLet's see what you've got
1,/content/drive/MyDrive/met_meme_audio_project/images/001.png,456,0,SOME MAGICIANS CAN WALK ON WATER CHUCK NORRIS CAN SWIM THROUGH LAND.,2,2,3,0,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/001_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/001_script.mp3,love,moderately,entertaining,non_offensive,no_metaphor,乾杯某些魔術人可以走上水但 Chuck Norris他走上水了
2,/content/drive/MyDrive/met_meme_audio_project/images/002.png,102,0,"My doors is always open,but i shall never drag you through it.
My doors is always open for you but,I will never drag you inside.The door is my heart and inside is my life.",2,1,2,0,1,/content/drive/MyDrive/met_meme_audio_project/audio_caption/002_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/002_script.mp3,love,slightly,expressive,non_offensive,metaphor_present,祝福你我的心门永远是开的但我永远不会让你进去只要你真正欢迎
3,/content/drive/MyDrive/met_meme_audio_project/images/003.png,1126,0,"I DON'T KNOW WHO YOU ARE 
I'VE LOST ALL MY PHONE CONTACTS",5,1,3,0,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/003_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/003_script.mp3,fear,slightly,entertaining,non_offensive,no_metaphor,nervouslyuh oh I have no clue who you areI accidentally wiped all my contacts
4,/content/drive/MyDrive/met_meme_audio_project/images/004.png,1003,0,I'M DREAMING OF A WHITE CHRISTMAS,4,1,2,0,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/004_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/004_script.mp3,sorrow,slightly,expressive,non_offensive,no_metaphor,"後果,希望翼翼的会"
5,/content/drive/MyDrive/met_meme_audio_project/images/005.png,914,0,Upside down Mr.Potato Head looks exactly like Steve Harvey,1,2,3,1,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/005_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/005_script.mp3,happiness,moderately,entertaining,slightly_offensive,no_metaphor,calmly check out mr potato head flipped upside downhe's giving steve harvey some serious competition with that look
6,/content/drive/MyDrive/met_meme_audio_project/images/006.png,571,0,PEOPLE KEPT CALLING ME AVERY BULLOCK FROM AMERICAN DAD NOOOO I TAKE MY JOB SERIOUSLY AND COULD KILL HIM IF I WANTED TO,7,2,3,0,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/006_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/006_script.mp3,surprise,moderately,entertaining,non_offensive,no_metaphor,我问过 Julia有人经常在说我的爸爸来自美国我开心把家取得他就向我开心
7,/content/drive/MyDrive/met_meme_audio_project/images/007.png,419,0,DUDE...WHAT...WHAT IF THERE'S MORE TO LIFE THAN TREATS AND CATNIP?,7,1,3,0,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/007_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/007_script.mp3,surprise,slightly,entertaining,non_offensive,no_metaphor,a surprisewait what if life is about more than just treats and catnipmind blown
8,/content/drive/MyDrive/met_meme_audio_project/images/008.png,2233,0,"HOW YOU FEEL WHEN IT'S BEEN
500 DAYSWITHOUT NEW GAME OF THRONES ESIPODES",4,1,3,0,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/008_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/008_script.mp3,sorrow,slightly,entertaining,non_offensive,no_metaphor,"產生接種啦!戰區是新面積的綜機揭碎但是仍然有一雙鼻子某些部分都是無敵戰區,作為軍事組織發展有虛幔即可支援了供應商的使用"
9,/content/drive/MyDrive/met_meme_audio_project/images/009.png,356,0,"That moment
when you still don't know her last name
Does penny have a last name?LOL!Like The Big Bang Theory Memes for more!",1,1,3,0,0,/content/drive/MyDrive/met_meme_audio_project/audio_caption/009_caption.mp3,/content/drive/MyDrive/met_meme_audio_project/audio_script/009_script.mp3,happiness,slightly,entertaining,non_offensive,no_metaphor,uncomely that moment when you realize you still don't know Penny's last nameclassic big bang theory mystery
